DEPT,GR,SHLV,RES,DT,VP,VS,RHOB,RHOB,NPHI,DPHI,POIS,classification
4020,45.543,0.4036,0.37,132.31,7558.0077,3147.3555,2.1047,2.1047,-999.25,0.3137,0.3951,2
4021,47.48,0.431,0.44,127.28,7856.6939,3375.0354,2.1295,2.1295,-999.25,0.2971,0.3869,1
4022,56.512,0.5594,0.55,119.03,8401.2434,3763.5865,2.1829,2.1829,-999.25,0.2579,0.3745,5
4023,59.824,0.6065,0.68,116.03,8618.4607,3918.7153,2.2034,2.2034,-999.25,0.2428,0.3697,5
4024,58.105,0.582,0.65,118.03,8472.4223,3812.1862,2.1906,2.1906,-999.25,0.2521,0.3731,5
4025,53.418,0.5153,0.5,126.78,7887.6794,3373.8286,2.1417,2.1417,-999.25,0.2857,0.388,4
4026,56.48,0.5588,0.38,130.31,7674.0081,3192.8934,2.1315,2.1315,-999.25,0.2902,0.3953,4
4027,58.543,0.5882,0.31,130.56,7659.3137,3172.7241,2.1338,2.1338,-999.25,0.2874,0.3964,4
4028,58.199,0.5832,0.28,132.81,7529.5535,3072.4126,2.1237,2.1237,-999.25,0.294,0.4001,4
4029,47.105,0.4251,0.31,131.56,7601.0946,3175.0315,2.1104,2.1104,-999.25,0.3093,0.3943,2
4030,57.043,0.5667,0.36,124.78,8014.1048,3457.4713,2.1569,2.1569,-999.25,0.2739,0.3857,4
4031,63.512,0.6589,0.43,121.03,8262.4143,3623.4032,2.1854,2.1854,-999.25,0.2517,0.3809,5
4032,68.152,0.7251,0.55,125.03,7998.0805,3396.7743,2.1747,2.1747,-999.25,0.2553,0.39,5
4033,61.762,0.6339,0.63,122.78,8144.649,3539.0776,2.1742,2.1742,-999.25,0.26,0.3836,5
4034,62.293,0.6414,0.66,122.53,8161.2666,3549.7403,2.1762,2.1762,-999.25,0.2583,0.3833,5
4035,70.402,0.7572,0.7,129.81,7703.5668,3157.8784,2.1571,2.1571,-999.25,0.265,0.399,4
4036,69.527,0.7447,0.73,127.53,7841.2922,3268.759,2.1657,2.1657,-999.25,0.2601,0.3948,4
4037,58.637,0.5892,0.71,119.78,8348.6392,3712.85,2.183,2.183,-999.25,0.2565,0.3767,5
4038,56.137,0.5534,0.68,121.03,8262.4143,3656.5082,2.1727,2.1727,-999.25,0.2646,0.3782,5
4039,57.293,0.5699,0.64,118.53,8436.6827,3788.05,2.1866,2.1866,-999.25,0.2551,0.3737,5
4040,62.105,0.6386,0.6,122.53,8161.2666,3550.6074,2.1759,2.1759,-999.25,0.2586,0.3833,5
4041,59.105,0.5957,0.59,121.53,8228.421,3616.5501,2.1754,2.1754,-999.25,0.2609,0.3803,5
4042,64.59,0.6742,0.61,121.28,8245.3826,3605.3335,2.1861,2.1861,-999.25,0.2505,0.3818,5
4043,68.215,0.726,0.66,126.78,7887.6794,3310.4496,2.1668,2.1668,-999.25,0.2603,0.3931,4
4044,66.402,0.7001,0.7,125.78,7950.3896,3367.1161,2.1683,2.1683,-999.25,0.2606,0.3907,4
4045,68.902,0.7359,0.69,121.53,8228.421,3572.9508,2.1924,2.1924,-999.25,0.2436,0.3838,5
4046,66.152,0.6965,0.64,118.53,8436.6827,3747.6581,2.2021,2.2021,-999.25,0.2394,0.3771,5
4047,56.637,0.5602,0.61,120.28,8313.9342,3694.8143,2.177,2.177,-999.25,0.2616,0.3769,5
4048,62.98,0.651,0.61,127.28,7856.6939,3308.6384,2.1557,2.1557,-999.25,0.2708,0.3922,4
4049,66.09,0.6956,0.65,130.81,7644.6755,3129.8928,2.1454,2.1454,-999.25,0.2752,0.3993,4
4050,67.527,0.7162,0.73,126.28,7918.9104,3337.7302,2.1679,2.1679,-999.25,0.26,0.392,4
